PaperId,Round_1_response_length,Round_2_response_length,Round_3_response_length,Round_4_response_length,Round_5_response_length,Round_1_response_compound,Round_2_response_compound,Round_3_response_compound,Round_4_response_compound,Round_5_response_compound,first_author_gender,last_author_gender,gender_diversity_binary,gender_diversity_continuous,author_gender_list,Year,ReferenceCount,review_number,author_num,first_author_paper_count,last_author_paper_count,Field,author_gender
3037837763,3656,,,,,0.9988,,,,,male,male,0.0,0.0,"['unknown', 'male', 'male', 'male', 'male', 'andy', 'male', 'andy', 'male']",2020.0,55.0,2,9.0,9.0,409.0,Applied Sciences & Professions,First Author - Male
3004603152,8556,,,,,0.9964,,,,,female,unknown,1.0,0.9975025463691152,"['unknown', 'female', 'unknown', 'male', 'female', 'male', 'female', 'male', 'unknown', 'andy', 'female', 'female', 'male', 'female', 'female', 'male', 'male', 'female', 'male', 'male', 'unknown', 'female']",2020.0,50.0,2,22.0,151.0,351.0,Natural Sciences,First Author - Female
2766313617,4350,,,,,0.9973,,,,,male,male,1.0,0.6500224216483541,"['male', 'male', 'female', 'male', 'male', 'male', 'male', 'male', 'male', 'male', 'male', 'female']",2017.0,46.0,3,12.0,48.0,357.0,Natural Sciences,First Author - Male
4220990577,1167,,,,,-0.977,,,,,female,female,1.0,0.954434002924965,"['unknown', 'male', 'mostly_male', 'female', 'female', 'male', 'unknown', 'unknown', 'female', 'female', 'male', 'female']",2022.0,,2,12.0,29.0,1.0,Natural Sciences,First Author - Female
3199193818,7868,,,,,0.9997,,,,,female,female,1.0,1.0,"['female', 'female', 'unknown', 'male', 'male']",2021.0,31.0,3,5.0,5.0,103.0,Natural Sciences,First Author - Female
2980897730,38227,613.0,,,,0.9999,0.9494,,,,male,male,1.0,0.9852281360342516,"['male', 'unknown', 'unknown', 'male', 'unknown', 'mostly_female', 'male', 'male', 'female', 'female', 'unknown', 'female']",2019.0,81.0,4,12.0,40.0,140.0,Natural Sciences,First Author - Male
4221080661,17081,2346.0,,,,0.9996,0.9635,,,,male,male,1.0,0.7642045065086203,"['female', 'male', 'male', 'female', 'male', 'male', 'male', 'unknown', 'male', 'male']",2022.0,,1,10.0,128.0,2.0,Natural Sciences,First Author - Male
3095963122,17348,0.0,,,,0.9997,0.0,,,,male,male,0.0,0.0,"['male', 'male', 'male', 'male']",2020.0,70.0,3,4.0,16.0,333.0,Natural Sciences,First Author - Male
3183583714,0,,,,,0.0,,,,,female,male,1.0,1.0,"['female', 'male', 'female', 'female', 'male', 'male', 'female', 'male']",2021.0,55.0,2,8.0,13.0,13.0,Natural Sciences,First Author - Female
2952808937,9095,0.0,,,,0.9997,0.0,,,,male,male,1.0,0.8112781244591328,"['male', 'female', 'male', 'male']",2019.0,49.0,2,4.0,123.0,84.0,Natural Sciences,First Author - Male
